date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-03 | 1.299
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2011-01-03 | 2abc
2011-01-09 |1
2011-01-09| 1
date | value
date | value 
2011-01 09 | 1
2011-01-*9 | 1
2007-01-09 | 1
2009-31-09 | 1
2009--1-09 | 1
2009-01-33 | 1
2016-02-29 | 1
20581-01-11 | 1
2024-01-09 | 1
2012-01-11 | 00000000002147483648
2012-01-11
2012-01-11  1
    2011-01-03 | 1
    2011-01-03  |(tab)1

2022-01-09 | 1 // 2022-01-09,41864.44
2022-01-12 | 1 // 2022-01-12,43926
2022-01-15 | 1 // 2022-01-15,43146.53
2022-01-15 | 999 // 2022-01-15,43146.53
2022-01-15 | 100 // 2022-01-15,43146.53
